ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP
292010;Interior;Mairi;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe
292020;Interior;Malhada;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico
292030;Interior;Malhada De Pedras;24º BPM - Brumado;Sudoeste;Sertão Produtivo
292040;Interior;Manoel Vitorino;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
292045;Interior;Mansidão;86ª CIPM - Formosa do Rio Preto;Oeste;Bacia do Rio Grande
292050;Interior;Maracás;93ª CIPM - Maracás;Recôncavo;Vale do Jiquiriçá
292060;Interior;Maragogipe;20ª CIPM - Santo Amaro;Recôncavo;Recôncavo
292070;Interior;Maraú;72ª CIPM - Itacaré;Sul;Litoral Sul
292080;Interior;Marcionílio Souza;42ª CIPM - Lençóis;Chapada;Chapada Diamantina
292090;Interior;Mascote;62ª CIPM - Camacan;Sul;Litoral Sul
292100;RMS;Mata De São João;53ª CIPM - Mata de São João;RMS;25 - Pojuca
292105;Interior;Matina;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico
292110;Interior;Medeiros Neto;44ª CIPM - Medeiros Neto;Extremo Sul;Extremo Sul
292120;Interior;Miguel Calmon;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
292130;Interior;Milagres;99ª CIPM - Amargosa;Recôncavo;Vale do Jiquiriçá
292140;Interior;Mirangaba;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
292145;Interior;Mirante;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano
292150;Interior;Monte Santo;5º BPM - Euclides da Cunha;Nordeste;Semiárido
292160;Interior;Morpará;28ª CIPM - Ibotirama;Meio-Oeste;Velho Chico
292170;Interior;Morro Do Chapéu;7º BPM - Irecê;Meio-Oeste;Irecê
292180;Interior;Mortugaba;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano
